"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"ppx1x2p[1,1] A1 B1",0.0832049248333333,0.08212665,0.0783556177219322,12353.2,0.95,0.0521894,0.117414,NA,NA,NA,NA,NA,NA,NA
"ppx1x2p[2,1] A2 B1",0.0836524705416667,0.082617,0.0801645179009837,13265.5,0.95,0.0525664,0.117633,NA,NA,NA,NA,NA,NA,NA
"ppx1x2p[3,1] A3 B1",0.041453336965,0.04021615,0.0392242791022038,12000,0.95,0.0200779,0.0666175,NA,NA,NA,NA,NA,NA,NA
"ppx1x2p[4,1] A4 B1",0.0416681357408333,0.04046195,0.0381212881439033,12000,0.95,0.0193131,0.0660054,NA,NA,NA,NA,NA,NA,NA
"ppx1x2p[1,2] A1 B2",0.0834706483833333,0.0823491,0.0802371287716391,12000,0.95,0.051994,0.117964,NA,NA,NA,NA,NA,NA,NA
"ppx1x2p[2,2] A2 B2",0.083182738025,0.08215855,0.0790996296799849,12000,0.95,0.0518479,0.117217,NA,NA,NA,NA,NA,NA,NA
"ppx1x2p[3,2] A3 B2",0.041657092,0.0403572,0.0383120948749358,12468,0.95,0.0181693,0.0648156,NA,NA,NA,NA,NA,NA,NA
"ppx1x2p[4,2] A4 B2",0.0416704215958333,0.0405961,0.0409224867277273,12000,0.95,0.0192275,0.065993,NA,NA,NA,NA,NA,NA,NA
"ppx1x2p[1,3] A1 B3",0.042075752775,0.0409077,0.0390653248613163,12000,0.95,0.0199997,0.0670365,NA,NA,NA,NA,NA,NA,NA
"ppx1x2p[2,3] A2 B3",0.0416572646166667,0.04052695,0.0378793666118495,11383.4,0.95,0.0195274,0.065859,NA,NA,NA,NA,NA,NA,NA
"ppx1x2p[3,3] A3 B3",0.08321672205,0.0820338,0.0800705138458298,12000,0.95,0.0530505,0.118206,NA,NA,NA,NA,NA,NA,NA
"ppx1x2p[4,3] A4 B3",0.0830534725083333,0.0818542,0.0797082569787179,12000,0.95,0.0516619,0.117833,NA,NA,NA,NA,NA,NA,NA
"ppx1x2p[1,4] A1 B4",0.0416041226416667,0.04053615,0.0386118559742099,12000,0.95,0.019102,0.0655437,NA,NA,NA,NA,NA,NA,NA
