"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"omega",0.4328657888,0.4331005,0.428463879566654,16577.5,0.95,0.348938,0.509295,0.5,4.715,NA,NA,NA,NA,NA
"kappa",22.4117774865,19.94695,15.389493603348,13190.2,0.95,5.22582,44.7471,NA,NA,NA,NA,NA,NA,NA
"theta[1]",0.32399257964,0.3240545,0.322671175743528,18707.2,0.95,0.139014,0.500242,0.5,2.98,NA,NA,NA,NA,NA
"theta[2]",0.35786589056,0.358256,0.372006752118354,19238.6,0.95,0.17529,0.538709,0.5,6.595,NA,NA,NA,NA,NA
"theta[3]",0.39243612209,0.3929595,0.396427907185989,19270.4,0.95,0.212659,0.570092,0.5,11.95,NA,NA,NA,NA,NA
"theta[4]",0.393378168235,0.393247,0.381151545893556,19351.4,0.95,0.211415,0.571774,0.5,12.325,NA,NA,NA,NA,NA
"theta[5]",0.392732329915,0.3923205,0.391418001851306,18822.9,0.95,0.212126,0.571823,0.5,12.385,NA,NA,NA,NA,NA
"theta[6]",0.392103356665,0.390694,0.385339686843025,19341.7,0.95,0.207266,0.569324,0.5,12.245,NA,NA,NA,NA,NA
"theta[7]",0.39089606615,0.390409,0.371239242393336,19465.7,0.95,0.215864,0.575675,0.5,12.06,NA,NA,NA,NA,NA
"theta[8]",0.392012001505,0.3910175,0.380374777007895,19371.9,0.95,0.212393,0.575548,0.5,12.225,NA,NA,NA,NA,NA
"theta[9]",0.392427168275,0.392121,0.399150696595315,19228.2,0.95,0.206976,0.568889,0.5,12.32,NA,NA,NA,NA,NA
"theta[10]",0.392794545765,0.392132,0.396205224768981,19221.1,0.95,0.215126,0.57907,0.5,12.2,NA,NA,NA,NA,NA
"theta[11]",0.4264796508,0.425573,0.440977925648256,20000,0.95,0.242288,0.602927,0.5,21.075,NA,NA,NA,NA,NA
"theta[12]",0.42543490729,0.423369,0.404239191898785,19785,0.95,0.243605,0.603964,0.5,20.3,NA,NA,NA,NA,NA
"theta[13]",0.426792420445,0.4252915,0.42480793846217,18663.7,0.95,0.242973,0.604916,0.5,21.455,NA,NA,NA,NA,NA
"theta[14]",0.427098922515,0.426103,0.436233037460791,20000,0.95,0.248574,0.612103,0.5,21.855,NA,NA,NA,NA,NA
"theta[15]",0.4266375817,0.425399,0.41217282701709,19157.7,0.95,0.249305,0.611295,0.5,21.305,NA,NA,NA,NA,NA
"theta[16]",0.4617092758,0.4592985,0.448968007347907,19452.9,0.95,0.280394,0.645811,0.5,33.22,NA,NA,NA,NA,NA
"theta[17]",0.46058387025,0.4585,0.440706951040779,19321.2,0.95,0.272774,0.638436,0.5,33.035,NA,NA,NA,NA,NA
"theta[18]",0.4611404126,0.4598995,0.458063503100248,19420.4,0.95,0.276943,0.646185,0.5,33.23,NA,NA,NA,NA,NA
"theta[19]",0.46046658635,0.4581065,0.457842918097496,19500,0.95,0.276452,0.641479,0.5,33.05,NA,NA,NA,NA,NA
"theta[20]",0.46219725855,0.4599345,0.451535714369735,20000,0.95,0.279845,0.647425,0.5,33.19,NA,NA,NA,NA,NA
"theta[21]",0.45999854385,0.4578945,0.446140460868659,19401.8,0.95,0.28003,0.646588,0.5,32.455,NA,NA,NA,NA,NA
"theta[22]",0.45977807355,0.458411,0.460250110791231,19014.6,0.95,0.278314,0.642555,0.5,32.59,NA,NA,NA,NA,NA
"theta[23]",0.49583219875,0.4930095,0.492960242242692,19301,0.95,0.316811,0.688169,0.5,47.05,NA,NA,NA,NA,NA
"theta[24]",0.49601107975,0.4924385,0.469079544316812,20000,0.95,0.315836,0.687572,0.5,47.06,NA,NA,NA,NA,NA
"theta[25]",0.5283122762,0.5250955,0.523714070806986,18820.6,0.95,0.342196,0.721672,0.5,60.555,NA,NA,NA,NA,NA
"theta[26]",0.53004398855,0.5285735,0.538564838554262,18492.7,0.95,0.340484,0.718898,0.5,61.19,NA,NA,NA,NA,NA
"theta[27]",0.53020806185,0.5261945,0.516959185061367,19483.2,0.95,0.347291,0.724262,0.5,60.615,NA,NA,NA,NA,NA
"theta[28]",0.56303229125,0.558799,0.541596904690504,17167.4,0.95,0.372811,0.767832,0.5,72.395,NA,NA,NA,NA,NA
"theta[1]-theta[14]",-0.103106342875,-0.0992895,-0.0926386960549266,20000,0.95,-0.351336,0.148307,0,21.03,NA,NA,NA,NA,NA
"theta[1]-theta[28]",-0.23903971161,-0.231419,-0.190533668535494,17043.6,0.95,-0.523245,0.032003,0,3.815,NA,NA,NA,NA,NA
"theta[14]-theta[28]",-0.135933368735,-0.130887,-0.120001676085669,19122,0.95,-0.410238,0.114253,0,15.155,NA,NA,NA,NA,NA
