"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"omega",0.43329963375,0.4334115,0.433178552928736,18509.9,0.95,0.354013,0.516564,0.5,5.315,NA,NA,NA,NA,NA
"kappa",22.3344088315,19.90395,15.4336068397984,13019,0.95,5.40478,44.7068,NA,NA,NA,NA,NA,NA,NA
"theta[1]",0.323928366305,0.3239005,0.329081167526499,18740.4,0.95,0.142191,0.508748,0.5,3.13,NA,NA,NA,NA,NA
"theta[2]",0.35776584906,0.356273,0.345142379285537,19010.9,0.95,0.177331,0.540463,0.5,6.625,NA,NA,NA,NA,NA
"theta[3]",0.393263228365,0.3927595,0.400316171493581,19595.6,0.95,0.212378,0.578409,0.5,12.725,NA,NA,NA,NA,NA
"theta[4]",0.392299057595,0.392279,0.399223481464338,20000,0.95,0.204333,0.564853,0.5,12.32,NA,NA,NA,NA,NA
"theta[5]",0.39291202528,0.391251,0.388251812737068,19583.6,0.95,0.213222,0.574546,0.5,12.575,NA,NA,NA,NA,NA
"theta[6]",0.39199438757,0.39161,0.390054352900718,18715,0.95,0.206631,0.570218,0.5,12.3,NA,NA,NA,NA,NA
"theta[7]",0.39280690189,0.3921675,0.407077781459587,18838.5,0.95,0.215037,0.57494,0.5,12.485,NA,NA,NA,NA,NA
"theta[8]",0.39226381842,0.391873,0.399571327121795,19454.4,0.95,0.210098,0.57359,0.5,12.485,NA,NA,NA,NA,NA
"theta[9]",0.392892654175,0.39289,0.39785218224921,19829.6,0.95,0.207679,0.572064,0.5,12.475,NA,NA,NA,NA,NA
"theta[10]",0.39271287857,0.392333,0.393403715165115,19315.2,0.95,0.210024,0.571574,0.5,12.145,NA,NA,NA,NA,NA
"theta[11]",0.42781291972,0.426342,0.424481704986798,20000,0.95,0.248146,0.611763,0.5,21.94,NA,NA,NA,NA,NA
"theta[12]",0.427783951455,0.4267785,0.406322658852007,20000,0.95,0.243107,0.606503,0.5,21.54,NA,NA,NA,NA,NA
"theta[13]",0.42803115722,0.4271885,0.427197324172715,19459.3,0.95,0.242259,0.610888,0.5,21.735,NA,NA,NA,NA,NA
"theta[14]",0.42643759205,0.4251185,0.43424334677895,19533.1,0.95,0.244311,0.605356,0.5,20.94,NA,NA,NA,NA,NA
"theta[15]",0.42581450848,0.42372,0.406299163782392,20000,0.95,0.250576,0.61012,0.5,21.085,NA,NA,NA,NA,NA
"theta[16]",0.4607733053,0.458851,0.452431909814743,19431.5,0.95,0.275887,0.64495,0.5,33.07,NA,NA,NA,NA,NA
"theta[17]",0.4611444307,0.458893,0.458711012720817,20000,0.95,0.279438,0.644756,0.5,33.225,NA,NA,NA,NA,NA
"theta[18]",0.46165509415,0.4594865,0.446228625050282,19156.2,0.95,0.280413,0.646253,0.5,33.165,NA,NA,NA,NA,NA
"theta[19]",0.45937436815,0.4573915,0.453693552223698,20000,0.95,0.278635,0.64949,0.5,32.585,NA,NA,NA,NA,NA
"theta[20]",0.4608683406,0.4586165,0.45882717315259,18918.3,0.95,0.281452,0.648879,0.5,33.215,NA,NA,NA,NA,NA
"theta[21]",0.46149290885,0.458999,0.460663600616587,19962.3,0.95,0.281057,0.650454,0.5,33.515,NA,NA,NA,NA,NA
"theta[22]",0.46153019095,0.458985,0.449437374751996,20000,0.95,0.279915,0.648526,0.5,33.35,NA,NA,NA,NA,NA
"theta[23]",0.4959671017,0.493755,0.487416549097112,19369.4,0.95,0.310806,0.684787,0.5,47.29,NA,NA,NA,NA,NA
"theta[24]",0.4944052771,0.4912605,0.476443719310021,19534.4,0.95,0.310521,0.687511,0.5,46.42,NA,NA,NA,NA,NA
"theta[25]",0.53004495175,0.52734,0.51920784087249,18930,0.95,0.343607,0.720782,0.5,60.945,NA,NA,NA,NA,NA
"theta[26]",0.5301050183,0.5278345,0.531238574149373,18613.2,0.95,0.334624,0.719087,0.5,61.18,NA,NA,NA,NA,NA
"theta[27]",0.5294893865,0.5261695,0.52960150275668,19223.6,0.95,0.337887,0.717159,0.5,60.675,NA,NA,NA,NA,NA
"theta[28]",0.5640749796,0.561475,0.561765726715008,18392.5,0.95,0.371975,0.765224,0.5,72.87,NA,NA,NA,NA,NA
"theta[1]-theta[14]",-0.102509225745,-0.0984735,-0.0944903460049783,19333.9,0.95,-0.350849,0.14723,0,21.04,NA,NA,NA,NA,NA
"theta[1]-theta[28]",-0.240146613295,-0.232592,-0.211846873338308,17264.7,0.95,-0.528677,0.03187,0,3.915,NA,NA,NA,NA,NA
"theta[14]-theta[28]",-0.13763738755,-0.1331475,-0.14687889199127,18956.8,0.95,-0.40277,0.113005,0,14.63,NA,NA,NA,NA,NA
