"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"omega",0.499649479582875,0.501151,0.230119490223437,20000,0.95,0.000857983,0.949558,0.5,50.165,NA,NA,NA,NA,NA
"kappa",3.018239883,2,1.99260858751792,20000,0.95,2,2.35858,NA,NA,NA,NA,NA,NA,NA
"theta[1]",0.49905931679491,0.4995185,0.242348441323983,20000,0.95,0.0298897,0.977156,0.5,49.965,NA,NA,NA,NA,NA
"theta[2]",0.5063252022906,0.5077885,0.800489212671018,20000,0.95,0.0533351,0.999969,0.5,50.915,NA,NA,NA,NA,NA
"theta[3]",0.5000142735757,0.5000385,0.746210688381345,20550.7,0.95,0.0354855,0.984929,0.5,50.01,NA,NA,NA,NA,NA
"theta[4]",0.50095499101109,0.500962,0.477434868136998,20000,0.95,0.0463525,0.992538,0.5,50.125,NA,NA,NA,NA,NA
"theta[5]",0.500760879819665,0.5021535,0.577189681899786,20000,0.95,0.0170278,0.96248,0.5,50.225,NA,NA,NA,NA,NA
"theta[6]",0.49837501259524,0.4962545,0.3324138317395,19445.1,0.95,0.0285597,0.975117,0.5,49.58,NA,NA,NA,NA,NA
"theta[7]",0.50030053455845,0.501135,0.745998154222378,20440.7,0.95,0.000353653,0.947332,0.5,50.11,NA,NA,NA,NA,NA
"theta[8]",0.49726362766691,0.49726,0.596257923130082,20000,0.95,0.0233117,0.968536,0.5,49.72,NA,NA,NA,NA,NA
"theta[9]",0.501000094098235,0.500873,0.467935544303461,19530.8,0.95,0.0369472,0.983198,0.5,50.075,NA,NA,NA,NA,NA
"theta[10]",0.502250540256892,0.5049535,0.664910037749472,20523.6,0.95,0.0103316,0.954461,0.5,50.455,NA,NA,NA,NA,NA
"theta[11]",0.50240196753316,0.5061125,0.603282779007837,19389.7,0.95,0.0136824,0.958533,0.5,50.575,NA,NA,NA,NA,NA
"theta[12]",0.50051455492117,0.5007915,0.79124773753165,20000,0.95,0.000995405,0.951071,0.5,50.065,NA,NA,NA,NA,NA
"theta[13]",0.501571997023366,0.5050435,0.643824354560634,18881.6,0.95,0.0449556,0.990742,0.5,50.5,NA,NA,NA,NA,NA
"theta[14]",0.504289073216289,0.5078655,0.548694907150631,20000,0.95,0.0424464,0.989441,0.5,50.785,NA,NA,NA,NA,NA
"theta[15]",0.5035597083579,0.5037965,0.479833352181089,19247.2,0.95,0.0366177,0.98077,0.5,50.395,NA,NA,NA,NA,NA
"theta[16]",0.49918553528533,0.5002185,0.61996912818236,20000,0.95,0.00631403,0.955216,0.5,50.02,NA,NA,NA,NA,NA
"theta[17]",0.49654032588205,0.495865,0.358710312270586,19555.5,0.95,0.014949,0.961156,0.5,49.62,NA,NA,NA,NA,NA
"theta[18]",0.5010012369894,0.502068,0.460863925251055,20000,0.95,0.0263125,0.973291,0.5,50.11,NA,NA,NA,NA,NA
"theta[19]",0.5014263800829,0.4999835,0.829306391362697,20000,0.95,0.051502,0.99903,0.5,49.99,NA,NA,NA,NA,NA
"theta[20]",0.500907298659395,0.5015395,0.527312702134921,20000,0.95,0.00465478,0.952519,0.5,50.14,NA,NA,NA,NA,NA
"theta[21]",0.49994947754535,0.500996,0.185091913574833,20000,0.95,0.0252884,0.971986,0.5,50.085,NA,NA,NA,NA,NA
"theta[22]",0.49769332318138,0.49576,0.427559396694939,20361.7,0.95,0.0131999,0.962337,0.5,49.54,NA,NA,NA,NA,NA
"theta[23]",0.50014946731535,0.4973605,0.465478497392689,20000,0.95,0.0289466,0.978785,0.5,49.765,NA,NA,NA,NA,NA
"theta[24]",0.50184492513431,0.5020865,0.712509067703926,20294.5,0.95,0.00785277,0.953318,0.5,50.25,NA,NA,NA,NA,NA
"theta[25]",0.498639495307175,0.495946,0.44882366632754,18842.1,0.95,0.00941271,0.956398,0.5,49.595,NA,NA,NA,NA,NA
"theta[26]",0.50159716015499,0.503642,0.719946859486493,20000,0.95,0.0471837,0.99658,0.5,50.36,NA,NA,NA,NA,NA
"theta[27]",0.497024941961118,0.493917,0.204161329574354,18671.7,0.95,0.0276189,0.973575,0.5,49.45,NA,NA,NA,NA,NA
"theta[28]",0.50499526830893,0.5055065,0.460807128317798,20000,0.95,0.0427219,0.987918,0.5,50.455,NA,NA,NA,NA,NA
"theta[1]-theta[14]",-0.005229756421379,-0.00434349999999999,-0.004698069644683,20000,0.95,-0.790871,0.752286,0,49.495,NA,NA,NA,NA,NA
"theta[1]-theta[28]",-0.00593595151402,-0.00484200000000001,0.00287997904768122,20000,0.95,-0.783133,0.751086,0,49.44,NA,NA,NA,NA,NA
"theta[14]-theta[28]",-0.000706195092641,-0.0013995,0.00767784038996466,20000,0.95,-0.7599318,0.775917,0,49.85,NA,NA,NA,NA,NA
