"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"omega",0.502005678331379,0.5026905,0.741197947181172,21424.8,0.95,0.0491566,0.997332,0.5,50.235,NA,NA,NA,NA,NA
"kappa",12.4882716955,9.478775,4.25696898077224,20862,0.95,2.00201,32.3032,NA,NA,NA,NA,NA,NA,NA
"theta[1]",0.5027040461784,0.503975,0.468589782887303,21220.4,0.95,0.0536089,0.961425,0.5,50.455,NA,NA,NA,NA,NA
"theta[2]",0.50263849829455,0.5030065,0.564762052192117,20863.2,0.95,0.0365011,0.951085,0.5,50.33,NA,NA,NA,NA,NA
"theta[3]",0.50074369621052,0.4993975,0.374400357810147,20832.3,0.95,0.0383686,0.949899,0.5,49.925,NA,NA,NA,NA,NA
"theta[4]",0.50100745165435,0.499331,0.393377207790079,21236,0.95,0.0509682,0.962619,0.5,49.94,NA,NA,NA,NA,NA
"theta[5]",0.49982186585075,0.4991195,0.510629278472723,20000,0.95,0.0464335,0.957599,0.5,49.9,NA,NA,NA,NA,NA
"theta[6]",0.50017912528263,0.4993195,0.430787470341323,20000,0.95,0.049596,0.962546,0.5,49.91,NA,NA,NA,NA,NA
"theta[7]",0.501857636526065,0.499713,0.355589719241495,20125.8,0.95,0.0532337,0.963044,0.5,49.96,NA,NA,NA,NA,NA
"theta[8]",0.50186873462957,0.502048,0.489233342278427,21128,0.95,0.0359031,0.94516,0.5,50.285,NA,NA,NA,NA,NA
"theta[9]",0.50370726248871,0.503676,0.658362177886795,20179.9,0.95,0.0486776,0.960206,0.5,50.415,NA,NA,NA,NA,NA
"theta[10]",0.5020073138534,0.5007445,0.430666067430816,20000,0.95,0.048935,0.961095,0.5,50.08,NA,NA,NA,NA,NA
"theta[11]",0.50248351925435,0.504818,0.524693337092078,20631.5,0.95,0.0460565,0.959803,0.5,50.57,NA,NA,NA,NA,NA
"theta[12]",0.501563633479115,0.5014945,0.505873630970869,21052.9,0.95,0.0540443,0.96607,0.5,50.125,NA,NA,NA,NA,NA
"theta[13]",0.5026828283832,0.5020615,0.489387907655904,21249.8,0.95,0.0436826,0.953294,0.5,50.275,NA,NA,NA,NA,NA
"theta[14]",0.50106056581985,0.501571,0.515421074574259,20948.4,0.95,0.0557805,0.964677,0.5,50.17,NA,NA,NA,NA,NA
"theta[15]",0.500118719345235,0.4983985,0.501207447010775,20000,0.95,0.0506432,0.963263,0.5,49.825,NA,NA,NA,NA,NA
"theta[16]",0.5001472792541,0.5015155,0.56714453532772,21023,0.95,0.0450978,0.958478,0.5,50.17,NA,NA,NA,NA,NA
"theta[17]",0.50034533058015,0.4994735,0.414270233230916,21319.9,0.95,0.043228,0.9582,0.5,49.94,NA,NA,NA,NA,NA
"theta[18]",0.50232488769115,0.5030195,0.498907360870331,20774.2,0.95,0.0536488,0.96428,0.5,50.32,NA,NA,NA,NA,NA
"theta[19]",0.5025072677548,0.5020275,0.524603094945458,20000,0.95,0.0424933,0.95425,0.5,50.285,NA,NA,NA,NA,NA
"theta[20]",0.50152697139105,0.499266,0.414857588528627,21119.3,0.95,0.061734,0.972259,0.5,49.935,NA,NA,NA,NA,NA
"theta[21]",0.50192714183109,0.5021085,0.395591962341685,20191.3,0.95,0.0543435,0.964539,0.5,50.205,NA,NA,NA,NA,NA
"theta[22]",0.5020686315774,0.500844,0.362925048671009,20000,0.95,0.0512757,0.962715,0.5,50.115,NA,NA,NA,NA,NA
"theta[23]",0.503256215431995,0.5022835,0.404897422213994,20095.6,0.95,0.0493666,0.963439,0.5,50.315,NA,NA,NA,NA,NA
"theta[24]",0.5005132263687,0.5005385,0.405297207078855,20400.3,0.95,0.0417974,0.954862,0.5,50.07,NA,NA,NA,NA,NA
"theta[25]",0.5021271983186,0.5001465,0.456423751923991,20861,0.95,0.0575715,0.96903,0.5,50.03,NA,NA,NA,NA,NA
"theta[26]",0.4998461650301,0.4976215,0.346317686756371,20465.4,0.95,0.0483651,0.959143,0.5,49.755,NA,NA,NA,NA,NA
"theta[27]",0.5036153059089,0.5029925,0.494441175787156,20000,0.95,0.0518145,0.963149,0.5,50.375,NA,NA,NA,NA,NA
"theta[28]",0.500265282592045,0.5012915,0.540850608255006,20797,0.95,0.0441291,0.957854,0.5,50.135,NA,NA,NA,NA,NA
"theta[1]-theta[14]",0.00164348035855,0.000437999999999994,-0.00750893270482844,19704,0.95,-0.47228,0.478407,0,50.105,NA,NA,NA,NA,NA
"theta[1]-theta[28]",0.002438763586355,0.00190299999999993,0.00290682719538693,19544.3,0.95,-0.476101,0.485467,0,50.37,NA,NA,NA,NA,NA
"theta[14]-theta[28]",0.000795283227805,0.00135649999999998,0.0056775671747531,20000,0.95,-0.465688,0.481183,0,50.325,NA,NA,NA,NA,NA
