"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"CHAIN",2.5,2.5,3.99610751325732,1.5,0.95,1,4,NA,NA,NA,NA,NA,NA,NA
"beta0",63.651659799,62.75865,62.7740675885407,724.4,0.95,26.5737,97.1095,NA,NA,NA,NA,NA,NA,NA
"beta[1]",-0.0331006543608,-0.03263755,-0.0325653901453074,706.4,0.95,-0.0519024,-0.0149004,NA,NA,NA,NA,NA,NA,NA
"beta[2]",0.04947197164,0.04901865,0.0496695977013527,489.6,0.95,0.0283568,0.0722154,NA,NA,NA,NA,NA,NA,NA
"sigma",0.927253743,0.9314625,0.931613736961878,357.8,0.95,0.530997,1.29285,NA,NA,NA,NA,NA,NA,NA
"thresh[1]",1.5,1.5,1.49855708707979,0,0.95,1.5,1.5,NA,NA,NA,NA,NA,NA,NA
"thresh[2]",2.294245678,2.28219,2.25904900742546,340.2,0.95,1.89401,2.74161,NA,NA,NA,NA,NA,NA,NA
"thresh[3]",3.035478678,3.0471,3.11196422735321,176.9,0.95,2.40629,3.62118,NA,NA,NA,NA,NA,NA,NA
"thresh[4]",3.971035566,4.001455,4.10021174123789,159.6,0.95,3.08082,4.72876,NA,NA,NA,NA,NA,NA,NA
"thresh[5]",6.347626512,5.98061,5.81724139289367,809.2,0.95,4.41679,9.23621,NA,NA,NA,NA,NA,NA,NA
"thresh[6]",6.5,6.5,6.49374737734577,0,0.95,6.5,6.5,NA,NA,NA,NA,NA,NA,NA
"zbeta0",3.248350836,3.25582,3.23891558934522,172.9,0.95,2.57739,3.80007,NA,NA,NA,NA,NA,NA,NA
"zbeta[1]",-0.60011531056,-0.5917185,-0.590409940006485,706.4,0.95,-0.940991,-0.270145,NA,NA,NA,NA,NA,NA,NA
"zbeta[2]",0.9032210386,0.894944,0.906827195598401,489.6,0.95,0.517717,1.31845,NA,NA,NA,NA,NA,NA,NA
"zsigma",0.927253743,0.9314625,0.931613736961878,357.8,0.95,0.530997,1.29285,NA,NA,NA,NA,NA,NA,NA
